CO_ENTIDADE,NO_ENTIDADE
25037439,ESCOLA MUNICIPAL DE EDUCACAO BASICA REUNIDA PADRE TAVARES
25037498,ESCOLA MUNICIPAL DE EDUCACAO BASICA JOSE NASCIMENTO DA SILVA
25037510,ESCOLA MUNICIPAL DE EDUCACAO BASICA MARIA AMELIA DA CONCEICAO
25037536,ESCOLA MUNICIPAL DE EDUCACAO BASICA MARIA ROSA DA CONCEICAO
25037609,ESCOLA MUNICIPAL DE EDUCACAO BASICA MANOEL BERNARDINO DO NASCIMENTO
25037650,ESCOLA MUNICIPAL DE EDUCACAO BASICA MARCELINO FORTUNATO
25037668,ESCOLA MUNICIPAL DE EDUCACAO BASICA SAO FRANCISCO
25037676,ESCOLA MUNICIPAL DE EDUCACAO BASICA SEBASTIAO BARROS
25037692,ESCOLA MUNICIPAL DE EDUCACAO BASICA JOANA EPAMINONDAS DE OLIVEIRA
25104934,ESCOLA MUNICIPAL DE EDUCACAO BASICA ISABEL MARIA DE FREITAS
25121979,ESCOLA MUNICIPAL DE EDUCACAO BASICA MANOEL FRANCISCO DA SILVA
25129848,CENTRO MUNICIPAL DE EDUCACAO INFANTIL PROFESSORA MARIA DE FATIMA OLIVEIRA
