CO_ENTIDADE,NO_ENTIDADE
26105276,ESCOLA MUNICIPAL GENARO PEREIRA BARACHO
26105845,ESCOLA PASTOR HERMES DA CUNHA E SILVA
26105853,COLEGIO MUNICIPAL SENADOR PAULO PESSOA GUERRA
26105926,ESCOLA MUNICIPAL MARIA CARNEIRO DE ALBUQUERQUE
26105942,ESCOLA MUNICIPAL DARIO COQUITA FERREIRA DA COSTA
26105969,ESCOLA MUNICIPAL SANTA ANA
26141434,ESCOLA MUL AMARO SOARES DE OLIVEIRA
26148315,ESCOLA MUNICIPAL DOM PEDRO II
26168804,ESCOLA MUNICIPAL DOM HELDER CAMARA
26180057,ESCOLA MUNICIPAL HILDEBRANDO CARNEIRO DE SOUZA
26192578,ESCOLA MUNICIPAL DE REFERENCIA EM ENSINO FUNDAMENTAL PASTOR ANTONIO CRISPIM ELIZIARIO
