CO_ENTIDADE,NO_ENTIDADE
24048631,COLEGIO SAO JOSE
24048739,ESCOLA ESTADUAL MAURICIO FREIRE
24048747,ESCOLA ESTADUAL SENADOR DINARTE MARIZ
24048763,EI RIACHO SALGADO
24048801,EM ALFREDO TERTULINO DA CUNHA
24048887,EM DEP DJALMA MARINHO
24048925,EM JOAQUIM ALEIXO DE LUNA
24048941,EM LUIZ GONZAGA DE MEDEIROS
24048992,EM MARIA LUIZA DE ARAUJO
24049018,EM PAULINA NUNES DE QUEIROZ
24049026,ESCOLA MUNICIPAL PROFESSORA FRANCISCA AZEVEDO
24049158,JD E PRE PINGUINHO DE GENTE
24049166,EDUCANDARIO JESUS MENINO
24063797,PRE ESCOLAR PEQUENO PRINCIPE
24063932,SOCIEDADE EDUCADORA SAO FRANCISCO
24084182,PROJETO SESC LER
24085383,IFRN - CAMPUS SAO PAULO DO POTENGI
24087491,ESCOLA MUNICIPAL MONSENHOR EXPEDITO
24089869,EDUCANDARIO CASA DO BEBE
24090433,CENTRO INTEGRADO DE FORMACAO PROFISSIONAL - CIFOP - UNID SPP
24335347,EM VEREADOR LUIZ ANTONIO DIAS CAMPOS
