CO_ENTIDADE,NO_ENTIDADE
27029174,ESCOLA DE ENSINO FUNDAMENTAL LUIZ MENDONCA UCHOA
27029212,ESCOLA DE ENSINO FUNDAMENTAL PEDRO SURUAGY
27029239,ESCOLA DE ENSINO FUNDAMENTAL TEOTONIO VILELA
27029263,ESCOLA DE ENSINO FUNDAMENTAL MAXIMINO BUARQUE
27029310,ESCOLA DE ENSINO FUNDAMENTAL SAO JOSE
27029336,ESCOLA ESTADUAL DELMO FERREIRA DA SILVA
27029344,ESCOLA DE ENSINO FUND DEP ANTONIO R ALBUQUERQUE
27029409,ESCOLA DE ENSINO FUNDAMENTAL SENADOR RUI PALMEIRA
27049655,PRE ESCOLA ROMEU BASTOS SILVA
27049663,CRECHE NECI BASTOS SILVA
